slot_utc,count,min_seconds,p25_seconds,p50_seconds,p75_seconds,p95_seconds,p99_seconds,max_seconds,within_1m_percent,within_15m_percent,within_30m_percent,within_1h_percent,over_1h_percent,finalized_expected_count,finalized_observed_count,missing_count,missing_percent
1210,41,2732,3552,14451,16000,24978,36255,36255,0.00,0.00,0.00,26.83,73.17,40,40,0,0.00
1215,41,2500,3336,14266,15775,24719,36016,36016,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1220,41,2456,3343,14556,15818,24506,36251,36251,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1225,41,2287,3604,14551,15748,24267,36185,36185,0.00,0.00,0.00,24.39,75.61,40,40,0,0.00
1230,41,2117,3504,14395,15513,24026,35967,35967,0.00,0.00,0.00,26.83,73.17,40,40,0,0.00
1235,41,2099,3459,14327,15420,23883,35963,35963,0.00,0.00,0.00,26.83,73.17,40,40,0,0.00
1240,41,2191,3300,14123,15265,23666,35847,35847,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1245,41,1847,2975,13811,14927,23324,35500,35500,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1250,41,1739,2904,13608,14834,23111,35548,35548,0.00,0.00,2.44,29.27,70.73,40,40,0,0.00
1255,41,1478,2633,13328,14623,22828,35327,35327,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1300,41,1837,3113,13549,15057,23077,35663,35663,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1305,41,1913,3088,13453,15154,23019,35667,35667,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1310,41,1645,2873,13165,14878,22727,35373,35373,0.00,0.00,7.32,29.27,70.73,40,40,0,0.00
1315,41,1801,2996,13055,14704,22551,35320,35320,0.00,0.00,0.00,29.27,70.73,40,40,0,0.00
1320,41,1499,2699,12755,14406,22252,35015,35015,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1325,41,1423,2653,12561,14190,22051,34874,34874,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1330,41,1357,2523,12442,13983,21847,34755,34755,0.00,0.00,9.76,29.27,70.73,40,40,0,0.00
1335,41,1196,2815,12419,13841,21707,34539,34539,0.00,0.00,12.20,31.71,68.29,40,40,0,0.00
1340,41,887,2521,12083,13535,21395,34238,34238,0.00,4.88,19.51,34.15,65.85,40,40,0,0.00
1345,41,749,2402,11890,13496,21315,34039,34039,0.00,9.76,12.20,36.59,63.41,40,40,0,0.00
1350,41,648,2331,11646,13383,21141,33831,33831,0.00,9.76,19.51,36.59,63.41,40,40,0,0.00
1355,41,1199,2580,11925,13613,21176,34395,34395,0.00,0.00,12.20,36.59,63.41,40,40,0,0.00
1400,41,829,2215,11524,13265,20789,33925,33925,0.00,4.88,21.95,36.59,63.41,40,40,0,0.00
1405,41,1592,3038,11979,13654,21169,34780,34780,0.00,0.00,9.76,31.71,68.29,40,40,0,0.00
1410,41,1535,2979,11807,13432,21007,34551,34551,0.00,0.00,9.76,31.71,68.29,40,40,0,0.00
1415,41,1353,3013,11604,13199,20974,34328,34328,0.00,0.00,12.20,34.15,65.85,40,40,0,0.00
